iter	Passed	Remaining
1136	101740	166704
1137	101891	166715
1138	102048	166735
1139	102185	166724
1140	102326	166717
1141	102481	166734
1142	102628	166738
1143	102793	166770
1144	102954	166794
1145	103120	166828
1146	103276	166845
1147	103397	166805
1148	103577	166860
1149	103739	166885
1150	103884	166882
1151	103998	166831
1152	104141	166824
1153	104293	166833
1154	104444	166839
1155	104573	166811
1156	104648	166695
1157	104792	166690
1158	104908	166640
1159	105057	166643
1160	105213	166655
1161	105411	166735
1162	105569	166750
1163	105739	166784
1164	105967	166910
1165	106075	166845
1166	106271	166920
1167	106402	166891
1168	106593	166956
1169	106724	166928
1170	106871	166923
1171	107049	166968
1172	107206	166979
1173	107339	166952
1174	107468	166918
1175	107637	166948
1176	107715	166834
1177	107789	166717
1178	107886	166633
1179	107960	166515
1180	108028	166387
1181	108096	166260
1182	108164	166133
1183	108227	165998
1184	108294	165869
1185	108366	165748
1186	108442	165632
1187	108522	165524
1188	108599	165411
1189	108669	165287
1190	108749	165178
1191	108813	165046
1192	108879	164916
1193	108942	164782
1194	109007	164651
1195	109080	164533
1196	109152	164413
1197	109225	164294
1198	109290	164163
1199	109357	164035
1200	109426	163912
1201	109497	163791
1202	109563	163661
1203	109634	163540
1204	109714	163433
1205	109784	163311
1206	109889	163241
1207	109960	163119
1208	110037	163008
1209	110097	162872
1210	110170	162754
1211	110244	162637
1212	110312	162512
1213	110386	162397
1214	110469	162294
1215	110542	162178
1216	110610	162053
1217	110686	161940
1218	110749	161809
1219	110817	161683
1220	110876	161547
1221	110942	161420
1222	111002	161284
1223	111069	161160
1224	111131	161026
1225	111191	160891
1226	111256	160763
1227	111314	160626
1228	111370	160485
1229	111432	160353
1230	111500	160230
1231	111560	160096
1232	111616	159955
1233	111679	159826
1234	111741	159695
1235	111803	159563
1236	111874	159445
1237	111937	159316
1238	111997	159182
1239	112074	159073
1240	112141	158949
1241	112222	158845
1242	112298	158735
1243	112366	158613
1244	112421	158473
1245	112473	158330
1246	112530	158192
1247	112599	158072
1248	112654	157932
1249	112709	157793
1250	112764	157654
1251	112821	157517
1252	112900	157412
1253	112970	157294
1254	113044	157181
1255	113104	157049
1256	113168	156922
1257	113231	156795
1258	113300	156677
1259	113365	156552
1260	113432	156431
1261	113495	156304
1262	113563	156182
1263	113632	156064
1264	113697	155940
1265	113760	155814
1266	113830	155696
1267	113891	155568
1268	113961	155450
1269	114022	155321
1270	114081	155189
1271	114144	155064
1272	114205	154935
1273	114268	154810
1274	114330	154682
1275	114418	154590
1276	114487	154473
1277	114556	154355
1278	114631	154245
1279	114699	154126
1280	114753	153990
1281	114809	153855
1282	114881	153742
1283	114941	153613
1284	115011	153497
1285	115076	153375
1286	115147	153260
1287	115212	153139
1288	115271	153010
1289	115341	152894
1290	115399	152764
1291	115460	152636
1292	115524	152514
1293	115592	152396
1294	115661	152280
1295	115720	152151
1296	115792	152038
1297	115854	151913
1298	115909	151779
1299	115975	151660
1300	116040	151539
1301	116108	151423
1302	116182	151313
1303	116241	151185
1304	116314	151074
1305	116380	150955
1306	116439	150828
1307	116500	150702
1308	116558	150573
1309	116618	150447
1310	116688	150333
1311	116768	150232
1312	116836	150116
1313	116905	150002
1314	116976	149889
1315	117026	149751
1316	117083	149621
1317	117149	149502
1318	117210	149379
1319	117275	149259
1320	117354	149157
1321	117416	149035
1322	117487	148923
1323	117556	148810
1324	117620	148689
1325	117681	148566
1326	117747	148448
1327	117816	148335
1328	117881	148217
1329	117957	148112
1330	118021	147992
1331	118090	147879
1332	118157	147763
1333	118222	147645
1334	118286	147526
1335	118355	147412
1336	118439	147318
1337	118514	147213
1338	118574	147088
1339	118647	146981
1340	118709	146859
1341	118778	146747
1342	118838	146623
1343	118922	146529
1344	119007	146436
1345	119081	146330
1346	119143	146208
1347	119211	146096
1348	119284	145988
1349	119351	145873
1350	119416	145756
1351	119481	145640
1352	119553	145531
1353	119633	145433
1354	119702	145321
1355	119772	145211
1356	119856	145117
1357	119916	144994
1358	119987	144885
1359	120057	144775
1360	120121	144658
1361	120185	144539
1362	120251	144425
1363	120323	144317
1364	120393	144207
1365	120463	144098
1366	120528	143981
1367	120607	143882
1368	120682	143778
1369	120752	143669
1370	120819	143555
1371	120887	143443
1372	120970	143349
1373	121031	143229
1374	121103	143121
1375	121209	143055
1376	121284	142951
1377	121356	142844
1378	121418	142726
1379	121488	142616
1380	121554	142503
1381	121629	142399
1382	121702	142293
1383	121769	142181
1384	121835	142067
1385	121917	141972
1386	121982	141857
1387	122063	141762
1388	122132	141652
1389	122203	141544
1390	122271	141434
1391	122334	141317
1392	122394	141197
1393	122463	141087
1394	122532	140978
1395	122624	140894
1396	122705	140799
1397	122774	140690
1398	122838	140575
1399	122902	140460
1400	122978	140358
1401	123043	140244
1402	123114	140138
1403	123178	140023
1404	123249	139916
1405	123315	139804
1406	123390	139702
1407	123468	139603
1408	123551	139511
1409	123642	139427
1410	123723	139331
1411	123795	139226
1412	123861	139113
1413	123920	138994
1414	123991	138888
1415	124059	138778
1416	124133	138676
1417	124222	138589
1418	124289	138479
1419	124363	138376
1420	124448	138285
1421	124518	138178
1422	124587	138071
1423	124661	137967
1424	124715	137843
1425	124780	137731
1426	124852	137626
1427	124919	137516
1428	124979	137398
1429	125052	137295
1430	125117	137183
1431	125189	137079
1432	125260	136973
1433	125325	136862
1434	125392	136752
1435	125461	136645
1436	125524	136530
1437	125590	136420
1438	125657	136310
1439	125751	136230
1440	125830	136134
1441	125912	136041
1442	125990	135944
1443	126067	135845
1444	126135	135737
1445	126202	135628
1446	126263	135513
1447	126331	135404
1448	126400	135298
1449	126462	135184
1450	126533	135079
1451	126606	134977
1452	126668	134863
1453	126743	134763
1454	126805	134649
1455	126877	134546
1456	126946	134439
1457	127022	134340
1458	127078	134220
1459	127134	134101
1460	127203	133995
1461	127275	133891
1462	127339	133780
1463	127416	133682
1464	127488	133579
1465	127570	133487
1466	127643	133386
1467	127714	133282
1468	127778	133171
1469	127851	133069
1470	127922	132965
1471	128014	132884
1472	128081	132777
1473	128157	132678
1474	128227	132574
1475	128299	132472
1476	128358	132356
1477	128424	132248
1478	128489	132138
1479	128564	132038
1480	128634	131935
1481	128708	131834
1482	128775	131727
1483	128853	131632
1484	128921	131526
1485	128985	131415
1486	129050	131306
1487	129129	131212
1488	129196	131105
1489	129255	130990
1490	129319	130880
1491	129388	130775
1492	129449	130662
1493	129519	130560
1494	129595	130462
1495	129661	130354
1496	129722	130242
1497	129786	130133
1498	129859	130032
1499	129924	129924
1500	129992	129819
1501	130062	129716
1502	130132	129613
1503	130205	129512
1504	130292	129427
1505	130381	129342
1506	130455	129243
1507	130528	129143
1508	130603	129045
1509	130669	128939
1510	130733	128829
1511	130811	128735
1512	130879	128630
1513	130942	128521
1514	131020	128426
1515	131093	128326
1516	131162	128222
1517	131238	128125
1518	131299	128014
1519	131364	127907
1520	131428	127799
1521	131503	127701
1522	131568	127594
1523	131637	127491
1524	131694	127377
1525	131775	127285
1526	131846	127184
1527	131921	127086
1528	131991	126984
1529	132054	126875
1530	132124	126774
1531	132201	126678
1532	132276	126582
1533	132342	126475
1534	132418	126379
1535	132497	126286
1536	132578	126195
1537	132673	126117
1538	132736	126009
1539	132806	125907
1540	132884	125813
1541	132951	125709
1542	133026	125612
1543	133083	125498
1544	133162	125405
1545	133243	125314
1546	133311	125210
1547	133387	125115
1548	133447	125004
1549	133512	124898
1550	133579	124794
1551	133658	124701
1552	133715	124589
1553	133794	124496
1554	133845	124377
1555	133906	124267
1556	133971	124162
1557	134040	124060
1558	134108	123957
1559	134170	123849
1560	134235	123744
1561	134295	123634
1562	134355	123524
1563	134407	123407
1564	134474	123304
1565	134545	123204
1566	134605	123094
1567	134658	122979
1568	134732	122882
1569	134802	122782
1570	134881	122689
1571	134973	122609
1572	135046	122511
1573	135127	122421
1574	135194	122318
1575	135254	122209
1576	135318	122104
1577	135385	122000
1578	135447	121893
1579	135523	121799
1580	135582	121689
1581	135651	121589
1582	135735	121501
1583	135795	121392
1584	135865	121293
1585	135933	121191
1586	135997	121086
1587	136059	120979
1588	136119	120871
1589	136184	120767
1590	136248	120662
1591	136306	120552
1592	136366	120444
1593	136419	120329
1594	136498	120238
1595	136648	120209
1596	136789	120172
1597	136930	120135
1598	137075	120101
1599	137252	120096
1600	137485	120138
1601	137679	120147
1602	137863	120147
1603	138011	120114
1604	138227	120141
1605	138384	120116
1606	138532	120084
1607	138610	119991
1608	138760	119960
1609	138915	119933
1610	139126	119954
1611	139215	119870
1612	139363	119837
1613	139531	119820
1614	139699	119803
1615	139849	119771
1616	140004	119744
1617	140238	119783
1618	140401	119762
1619	140497	119683
1620	140634	119639
1621	140814	119631
1622	141011	119637
1623	141162	119605
1624	141315	119574
1625	141486	119558
1626	141648	119535
1627	141813	119513
1628	141962	119478
1629	142090	119425
1630	142279	119423
1631	142439	119397
1632	142600	119372
1633	142789	119369
1634	142930	119327
1635	143141	119343
1636	143302	119317
1637	143446	119275
1638	143596	119239
1639	143747	119205
1640	143896	119168
1641	144045	119131
1642	144224	119119
1643	144371	119080
1644	144496	119022
1645	144674	119009
1646	144816	118965
1647	144970	118932
1648	145172	118937
1649	145337	118912
1650	145500	118885
1651	145653	118850
1652	145798	118808
1653	145958	118779
1654	146101	118734
1655	146233	118682
1656	146385	118645
1657	146538	118609
1658	146683	118566
1659	146826	118522
1660	146915	118434
